,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,0.2505023801432739,0.2626420688711028,0.241781147987199,0.24361106598856858,5519808.53,82467594.2
1,2021-10-21,0.2448959982233941,0.274958464804596,0.24257958496242507,0.251646230130175,8790674.13,85187670.37
2,2021-10-20,0.23316004790582315,0.2659581655929491,0.23206895605795955,0.2447589597715481,8949457.42,82856180.97
3,2021-10-19,0.23511845880446625,0.24388761187844624,0.23223631134829348,0.23353598182023458,5956873.86,79056961.15
4,2021-10-18,0.24132352557991563,0.27549178539444236,0.2310789114554161,0.23524007485214024,7415034.07,79633833.35
5,2021-10-17,0.2446255406773742,0.25453831620927597,0.2372902111005817,0.2411836461262693,5221764.18,81645860.28
6,2021-10-16,0.23849514963354915,0.26042070986487453,0.23358807573713736,0.2447527385184855,5299484.77,82854074.95
7,2021-10-15,0.2550364319752198,0.25629245996058947,0.23136299350066405,0.23841598269456868,7441838.89,80708946.58
8,2021-10-14,0.2688353000245326,0.2694983952891397,0.251883052081749,0.25548506844278573,6611650.88,86487199.84
9,2021-10-13,0.2680400534814264,0.27206668594574757,0.2552051478235266,0.2687254770238185,6101177.43,90969363.4
10,2021-10-12,0.2748123171158949,0.2765959313266436,0.26016587931615937,0.26794644181158317,5990601.0,90705643.2
11,2021-10-11,0.28401946859196703,0.29143722352020424,0.2708336915585817,0.274879623286476,6186504.94,93052674.49
12,2021-10-10,0.2908526171211664,0.3213373879089497,0.28269069620211357,0.2838347813479398,8138172.04,96084188.43
13,2021-10-09,0.30422604250149643,0.31122461005407925,0.28847670223131866,0.290808139851781,6811290.95,98444820.52
14,2021-10-08,0.3097996886611472,0.323214927666401,0.30046898163184577,0.3044868421317295,5446656.82,103075355.93
15,2021-10-07,0.30253851353514927,0.32506423620693736,0.28694535151950396,0.3096445848577967,7224394.81,104821362.96
16,2021-10-06,0.31038795823901705,0.31730511008964857,0.2893871885166524,0.30248728492045757,6966167.9,102398462.74
17,2021-10-05,0.3190095706613598,0.3253367102934545,0.30516994599132186,0.31044571867153015,7512007.67,105092564.02
18,2021-10-04,0.3454870916053919,0.35468288519248464,0.3171052933646216,0.3191547175765452,7058990.83,108040747.77
19,2021-10-03,0.35428327985862,0.4011362591481014,0.33793695722869277,0.3455448967660921,11802569.8,116974391.98
20,2021-10-02,0.30398490488268703,0.36632527429011075,0.30398490488268703,0.3540750520911176,10388902.84,119862033.33
21,2021-10-01,0.2962917912952325,0.30614920150423197,0.2947663695507676,0.30411007196583223,6783921.27,102947811.11
22,2021-09-30,0.2883985339038978,0.2998124285764419,0.2878391443127564,0.29631176251007246,5807137.03,100307915.36
23,2021-09-29,0.2865107191292368,0.2999557018313191,0.28344806698307845,0.2888298149776374,6500219.56,97775114.92
24,2021-09-28,0.28178008677556,0.3023808681662585,0.28068492581318,0.2868027688923446,6535542.41,97088916.15
25,2021-09-27,0.28231769772784,0.29266177207241,0.28020757151241,0.2817677818607,6132049.73,0.0
26,2021-09-26,0.28554689833233,0.29696898769508,0.27183558049818,0.2832804509933,6492307.94,0.0
27,2021-09-25,0.27178266639785,0.33576020747912,0.26967601082162,0.28541739343466,17948599.24,0.0
28,2021-09-24,0.28564817218243,0.29609106532511,0.25948110415385,0.27146628698972,9855998.19,0.0
29,2021-09-23,0.31240606848664,0.31532363002502,0.28257172621775,0.28569927428097,10994639.33,0.0
30,2021-09-22,0.3224414097511,0.32455683655948,0.29669438905179,0.31183909533628,11381805.41,0.0
31,2021-09-21,0.34177640714734,0.342481152614,0.32028204121298,0.32365217674417,12091812.21,0.0
32,2021-09-20,0.39253593179182,0.40168740704875,0.33137759128409,0.34242554869159,15736043.41,0.0
33,2021-09-19,0.39930373698176,0.40725432306703,0.37785998779049,0.39257763455213,14367830.71,0.0
34,2021-09-18,0.42281282219674,0.42393313177143,0.39396979974587,0.39930563517193,14668205.87,0.0
